gene,MitoPathways,Symbol,GeneSymbol,Gene Symbol,Pathways
SLC25A13,Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Amino acid metabolism > Urea cycle | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family,SLC25A13,SLC25A13,SLC25A13,Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Amino acid metabolism > Urea cycle | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family
PDK3,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,PDK3,PDK3,PDK3,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
ME3,Metabolism > Carbohydrate metabolism > TCA-associated,ME3,ME3,ME3,Metabolism > Carbohydrate metabolism > TCA-associated
MRPL22,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL22,MRPL22,MRPL22,Mitochondrial central dogma > Translation > Mitochondrial ribosome
IDH2,Metabolism > Carbohydrate metabolism > TCA cycle,IDH2,IDH2,IDH2,Metabolism > Carbohydrate metabolism > TCA cycle
GCDH,Metabolism > Amino acid metabolism > Lysine metabolism,GCDH,GCDH,GCDH,Metabolism > Amino acid metabolism > Lysine metabolism
MRPL47,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL47,MRPL47,MRPL47,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome
PPA2,Mitochondrial central dogma > mtDNA maintenance | Mitochondrial central dogma > mtRNA metabolism | Mitochondrial central dogma > Translation | Metabolism > Nucleotide metabolism,PPA2,PPA2,PPA2,Mitochondrial central dogma > mtDNA maintenance | Mitochondrial central dogma > mtRNA metabolism | Mitochondrial central dogma > Translation | Metabolism > Nucleotide metabolism
MRPL9,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL9,MRPL9,MRPL9,Mitochondrial central dogma > Translation > Mitochondrial ribosome
CHCHD10,0,CHCHD10,CHCHD10,CHCHD10,0
WARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases,WARS2,WARS2,WARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
SLC25A19,Metabolism > Vitamin metabolism > Vitamin B1 metabolism | Small molecule transport > SLC25A family,SLC25A19,SLC25A19,SLC25A19,Metabolism > Vitamin metabolism > Vitamin B1 metabolism | Small molecule transport > SLC25A family
CBR4,Metabolism > Lipid metabolism > Type II fatty acid synthesis,CBR4,CBR4,CBR4,Metabolism > Lipid metabolism > Type II fatty acid synthesis
SMDT1,Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > Calcium uniporter,SMDT1,SMDT1,SMDT1,Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > Calcium uniporter
HAGH,Metabolism > Detoxification > ROS and glutathione metabolism,HAGH,HAGH,HAGH,Metabolism > Detoxification > ROS and glutathione metabolism
COX7A1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,COX7A1,COX7A1,COX7A1,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
MTG1,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,MTG1,MTG1,MTG1,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
COX14,Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,COX14,COX14,COX14,Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
NDUFA12,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFA12,NDUFA12,NDUFA12,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MRPS16,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS16,MRPS16,MRPS16,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MTERF2,Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid,MTERF2,MTERF2,MTERF2,Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid
ETFRF1,"Metabolism > Electron carriers > Q-linked reactions, other",ETFRF1,ETFRF1,ETFRF1,"Metabolism > Electron carriers > Q-linked reactions, other"
GPD2,"Metabolism > Carbohydrate metabolism > Glycerol phosphate shuttle | Metabolism > Electron carriers > Q-linked reactions, other",GPD2,GPD2,GPD2,"Metabolism > Carbohydrate metabolism > Glycerol phosphate shuttle | Metabolism > Electron carriers > Q-linked reactions, other"
NDUFA10,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFA10,NDUFA10,NDUFA10,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
NDUFC2,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFC2,NDUFC2,NDUFC2,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
SLIRP,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation,SLIRP,SLIRP,SLIRP,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation
MT-ATP6,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,MT-ATP6,MT-ATP6,MT-ATP6,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
MT-CO2,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,MT-CO2,MT-CO2,MT-CO2,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
TIMM21,"Mitochondrial central dogma > Translation > Translation factors | Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors",TIMM21,TIMM21,TIMM21,"Mitochondrial central dogma > Translation > Translation factors | Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors"
NDUFA8,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFA8,NDUFA8,NDUFA8,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
GLS,Metabolism > Amino acid metabolism > Glutamate metabolism,GLS,GLS,GLS,Metabolism > Amino acid metabolism > Glutamate metabolism
NDUFB11,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFB11,NDUFB11,NDUFB11,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
DHTKD1,Metabolism > Amino acid metabolism > Lysine metabolism,DHTKD1,DHTKD1,DHTKD1,Metabolism > Amino acid metabolism > Lysine metabolism
FAHD2A,0,FAHD2A,FAHD2A,FAHD2A,0
HSD17B8,"Metabolism > Lipid metabolism > Type II fatty acid synthesis | Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis",HSD17B8,HSD17B8,HSD17B8,"Metabolism > Lipid metabolism > Type II fatty acid synthesis | Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis"
HINT2,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis",HINT2,HINT2,HINT2,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis"
MRPS5,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS5,MRPS5,MRPS5,Mitochondrial central dogma > Translation > Mitochondrial ribosome
C6ORF136,0,C6ORF136,C6ORF136,C6ORF136,0
SPRYD4,0,SPRYD4,SPRYD4,SPRYD4,0
LIPT2,Metabolism > Lipid metabolism > Lipoate insertion,LIPT2,LIPT2,LIPT2,Metabolism > Lipid metabolism > Lipoate insertion
DECR1,Metabolism > Lipid metabolism > Fatty acid oxidation,DECR1,DECR1,DECR1,Metabolism > Lipid metabolism > Fatty acid oxidation
MRPS26,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS26,MRPS26,MRPS26,Mitochondrial central dogma > Translation > Mitochondrial ribosome
SLC25A15,Metabolism > Amino acid metabolism > Urea cycle | Small molecule transport > SLC25A family,SLC25A15,SLC25A15,SLC25A15,Metabolism > Amino acid metabolism > Urea cycle | Small molecule transport > SLC25A family
NDUFV3,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFV3,NDUFV3,NDUFV3,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
BPHL,Metabolism > Detoxification > Xenobiotic metabolism,BPHL,BPHL,BPHL,Metabolism > Detoxification > Xenobiotic metabolism
STOML2,"Protein import, sorting and homeostasis > Protein homeostasis",STOML2,STOML2,STOML2,"Protein import, sorting and homeostasis > Protein homeostasis"
MSRB2,Metabolism > Detoxification > ROS and glutathione metabolism | Metabolism > Sulfur metabolism,MSRB2,MSRB2,MSRB2,Metabolism > Detoxification > ROS and glutathione metabolism | Metabolism > Sulfur metabolism
LACTB,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases | Metabolism > Lipid metabolism > Phospholipid metabolism",LACTB,LACTB,LACTB,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases | Metabolism > Lipid metabolism > Phospholipid metabolism"
TOMM40,"Protein import, sorting and homeostasis > Protein import and sorting > TOM",TOMM40,TOMM40,TOMM40,"Protein import, sorting and homeostasis > Protein import and sorting > TOM"
SLC25A25,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family,SLC25A25,SLC25A25,SLC25A25,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family
ADCK5,0,ADCK5,ADCK5,ADCK5,0
ACAD10,Metabolism > Lipid metabolism > Fatty acid oxidation,ACAD10,ACAD10,ACAD10,Metabolism > Lipid metabolism > Fatty acid oxidation
VWA8,0,VWA8,VWA8,VWA8,0
CCDC90B,0,CCDC90B,CCDC90B,CCDC90B,0
DNAJC11,"Protein import, sorting and homeostasis > Protein import and sorting | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions",DNAJC11,DNAJC11,DNAJC11,"Protein import, sorting and homeostasis > Protein import and sorting | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions"
ALKBH7,0,ALKBH7,ALKBH7,ALKBH7,0
GLDC,Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system,GLDC,GLDC,GLDC,Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system
MPC1L,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport,MPC1L,MPC1L,MPC1L,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport
THEM4,Metabolism > Lipid metabolism,THEM4,THEM4,THEM4,Metabolism > Lipid metabolism
SSBP1,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid,SSBP1,SSBP1,SSBP1,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid
MRPL27,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL27,MRPL27,MRPL27,Mitochondrial central dogma > Translation > Mitochondrial ribosome
HSCB,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,HSCB,HSCB,HSCB,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
MRPS10,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS10,MRPS10,MRPS10,Mitochondrial central dogma > Translation > Mitochondrial ribosome
AK4,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,AK4,AK4,AK4,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
ATAD3A,Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial dynamics and surveillance > Organelle contact sites | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions,ATAD3A,ATAD3A,ATAD3A,Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial dynamics and surveillance > Organelle contact sites | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions
MRPL37,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL37,MRPL37,MRPL37,Mitochondrial central dogma > Translation > Mitochondrial ribosome
PTGES2,Metabolism > Lipid metabolism > Eicosanoid metabolism,PTGES2,PTGES2,PTGES2,Metabolism > Lipid metabolism > Eicosanoid metabolism
TXNRD2,Metabolism > Detoxification > ROS and glutathione metabolism | Metabolism > Detoxification > Selenoproteins,TXNRD2,TXNRD2,TXNRD2,Metabolism > Detoxification > ROS and glutathione metabolism | Metabolism > Detoxification > Selenoproteins
ACSM5,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Detoxification > Xenobiotic metabolism,ACSM5,ACSM5,ACSM5,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Detoxification > Xenobiotic metabolism
CISD1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,CISD1,CISD1,CISD1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
MRPL41,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL41,MRPL41,MRPL41,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MTARC2,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins | Metabolism > Detoxification > Xenobiotic metabolism | Metabolism > Detoxification > Amidoxime reducing complex,MTARC2,MTARC2,MTARC2,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins | Metabolism > Detoxification > Xenobiotic metabolism | Metabolism > Detoxification > Amidoxime reducing complex
MRPS6,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS6,MRPS6,MRPS6,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MRPL23,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL23,MRPL23,MRPL23,Mitochondrial central dogma > Translation > Mitochondrial ribosome
SQOR,"Metabolism > Electron carriers > Q-linked reactions, other | Metabolism > Sulfur metabolism",SQOR,SQOR,SQOR,"Metabolism > Electron carriers > Q-linked reactions, other | Metabolism > Sulfur metabolism"
SCO1,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors,SCO1,SCO1,SCO1,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors
GCAT,Metabolism > Amino acid metabolism > Glycine metabolism,GCAT,GCAT,GCAT,Metabolism > Amino acid metabolism > Glycine metabolism
MTHFD1L,Metabolism > Vitamin metabolism > Folate and 1-C metabolism,MTHFD1L,MTHFD1L,MTHFD1L,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
ECI2,Metabolism > Lipid metabolism > Fatty acid oxidation,ECI2,ECI2,ECI2,Metabolism > Lipid metabolism > Fatty acid oxidation
UQCRB,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,UQCRB,UQCRB,UQCRB,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
ATP5PD,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,ATP5PD,ATP5PD,ATP5PD,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
ATP5MG,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits | Mitochondrial dynamics and surveillance > Cristae formation,ATP5MG,ATP5MG,ATP5MG,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits | Mitochondrial dynamics and surveillance > Cristae formation
CCDC58,0,CCDC58,CCDC58,CCDC58,0
MCCC2,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,MCCC2,MCCC2,MCCC2,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
MCEE,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation,MCEE,MCEE,MCEE,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation
MOCS1,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins,MOCS1,MOCS1,MOCS1,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins
MMUT,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Vitamin metabolism > Vitamin B12 metabolism,MMUT,MMUT,MMUT,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Vitamin metabolism > Vitamin B12 metabolism
SLC25A51,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism | Small molecule transport > SLC25A family,SLC25A51,SLC25A51,SLC25A51,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism | Small molecule transport > SLC25A family
SPG7,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",SPG7,SPG7,SPG7,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
ATP5MC3,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,ATP5MC3,ATP5MC3,ATP5MC3,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
ATAD1,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",ATAD1,ATAD1,ATAD1,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
OXNAD1,0,OXNAD1,OXNAD1,OXNAD1,0
MTG2,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,MTG2,MTG2,MTG2,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
DARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases,DARS2,DARS2,DARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
MRPL51,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL51,MRPL51,MRPL51,Mitochondrial central dogma > Translation > Mitochondrial ribosome
PC,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > TCA-associated | Metabolism > Vitamin metabolism > Biotin utilizing proteins,PC,PC,PC,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > TCA-associated | Metabolism > Vitamin metabolism > Biotin utilizing proteins
CLYBL,Metabolism > Carbohydrate metabolism > Itaconate metabolism,CLYBL,CLYBL,CLYBL,Metabolism > Carbohydrate metabolism > Itaconate metabolism
PNPLA8,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism,PNPLA8,PNPLA8,PNPLA8,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism
MLYCD,Metabolism > Lipid metabolism,MLYCD,MLYCD,MLYCD,Metabolism > Lipid metabolism
PYURF,0,PYURF,PYURF,PYURF,0
TIMM17B,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway",TIMM17B,TIMM17B,TIMM17B,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway"
MRPL32,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL32,MRPL32,MRPL32,Mitochondrial central dogma > Translation > Mitochondrial ribosome
SLC25A26,Small molecule transport > SLC25A family,SLC25A26,SLC25A26,SLC25A26,Small molecule transport > SLC25A family
PRODH2,"Metabolism > Amino acid metabolism > Glyoxylate metabolism | Metabolism > Electron carriers > Q-linked reactions, other",PRODH2,PRODH2,PRODH2,"Metabolism > Amino acid metabolism > Glyoxylate metabolism | Metabolism > Electron carriers > Q-linked reactions, other"
NIT2,Metabolism > Detoxification,NIT2,NIT2,NIT2,Metabolism > Detoxification
FDX2,Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,FDX2,FDX2,FDX2,Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
ME2,Metabolism > Carbohydrate metabolism > TCA-associated,ME2,ME2,ME2,Metabolism > Carbohydrate metabolism > TCA-associated
TUFM,Mitochondrial central dogma > Translation > Translation factors,TUFM,TUFM,TUFM,Mitochondrial central dogma > Translation > Translation factors
COX6A2,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,COX6A2,COX6A2,COX6A2,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
SLC30A9,Small molecule transport,SLC30A9,SLC30A9,SLC30A9,Small molecule transport
TAMM41,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism,TAMM41,TAMM41,TAMM41,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism
TIMM23,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway",TIMM23,TIMM23,TIMM23,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway"
RMND1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation,RMND1,RMND1,RMND1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation
MFN2,Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Organelle contact sites,MFN2,MFN2,MFN2,Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Organelle contact sites
DNLZ,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones",DNLZ,DNLZ,DNLZ,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
CHCHD4,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40",CHCHD4,CHCHD4,CHCHD4,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40"
NDUFAB1,OXPHOS > Complex I > CI subunits | Metabolism > Lipid metabolism > Type II fatty acid synthesis | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | OXPHOS > OXPHOS subunits,NDUFAB1,NDUFAB1,NDUFAB1,OXPHOS > Complex I > CI subunits | Metabolism > Lipid metabolism > Type II fatty acid synthesis | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | OXPHOS > OXPHOS subunits
ACSM1,Metabolism > Lipid metabolism > Fatty acid oxidation,ACSM1,ACSM1,ACSM1,Metabolism > Lipid metabolism > Fatty acid oxidation
COA5,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,COA5,COA5,COA5,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
COQ2,Metabolism > Metals and cofactors > Coenzyme Q metabolism,COQ2,COQ2,COQ2,Metabolism > Metals and cofactors > Coenzyme Q metabolism
PDSS2,Metabolism > Metals and cofactors > Coenzyme Q metabolism,PDSS2,PDSS2,PDSS2,Metabolism > Metals and cofactors > Coenzyme Q metabolism
EHHADH,Metabolism > Lipid metabolism,EHHADH,EHHADH,EHHADH,Metabolism > Lipid metabolism
NDUFS3,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFS3,NDUFS3,NDUFS3,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
ABCB10,Metabolism > Metals and cofactors > Heme synthesis and processing | Small molecule transport > ABC transporters,ABCB10,ABCB10,ABCB10,Metabolism > Metals and cofactors > Heme synthesis and processing | Small molecule transport > ABC transporters
CKMT2,Metabolism > Nucleotide metabolism > Creatine metabolism,CKMT2,CKMT2,CKMT2,Metabolism > Nucleotide metabolism > Creatine metabolism
MRPS25,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS25,MRPS25,MRPS25,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ACAD9,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,ACAD9,ACAD9,ACAD9,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
COX16,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,COX16,COX16,COX16,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
FAM210A,0,FAM210A,FAM210A,FAM210A,0
ACOT13,Metabolism > Lipid metabolism,ACOT13,ACOT13,ACOT13,Metabolism > Lipid metabolism
CPT1A,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle,CPT1A,CPT1A,CPT1A,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle
GK,,GK,GK,GK,
DHRS4,Metabolism > Vitamin metabolism > Vitamin A metabolism,DHRS4,DHRS4,DHRS4,Metabolism > Vitamin metabolism > Vitamin A metabolism
PRELID2,0,PRELID2,PRELID2,PRELID2,0
CARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases,CARS2,CARS2,CARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
NIPSNAP2,Mitochondrial dynamics and surveillance > Mitophagy | Mitochondrial dynamics and surveillance > Autophagy,NIPSNAP2,NIPSNAP2,NIPSNAP2,Mitochondrial dynamics and surveillance > Mitophagy | Mitochondrial dynamics and surveillance > Autophagy
NDUFB7,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFB7,NDUFB7,NDUFB7,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MICOS13,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex,MICOS13,MICOS13,MICOS13,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex
GLRX2,Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Vitamin C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism,GLRX2,GLRX2,GLRX2,Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Vitamin C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism
MRPS30,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS30,MRPS30,MRPS30,Mitochondrial central dogma > Translation > Mitochondrial ribosome
SCO2,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors,SCO2,SCO2,SCO2,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors
HSD17B10,"Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing | Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism",HSD17B10,HSD17B10,HSD17B10,"Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing | Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism"
NARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases,NARS2,NARS2,NARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
